,countrycode,year,rgdpe,pop_x,country,democracy_score,epp,fg,pp,pc,cl,category,Deathperevent,Affectedperevent
0,AGO,1987,3104.91825183,10.285712,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,5.7361123858,65.4305700957
1,AGO,1989,3032.05399572,10.820992,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,70.7883343782,1434.71134624
2,AGO,1998,3063.98245603,14.18771,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,8.10560689498,78.4481780358
3,AGO,1999,2807.78404164,14.601983,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,12.8749636265,59.7864002444
4,AGO,2000,2266.94768353,15.058638,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,2.12502618099,2627.32924452
5,AGO,2000,2266.94768353,15.058638,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,2.12502618099,2627.32924452
6,AGO,2001,2534.62353933,15.562791,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,3.08427967708,1296.45768551
7,AGO,2001,2534.62353933,15.562791,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,3.08427967708,1296.45768551
9,AGO,2004,3061.27519622,17.2955,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,10.3206036252,9648.31892689
10,AGO,2004,3061.27519622,17.2955,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,10.3206036252,9648.31892689
11,AGO,2006,4494.81441382,18.541467,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,130.626125754,3104.93231199
12,AGO,2007,4724.78377319,19.183907,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,16.1593777534,1677.00458515
13,AGO,2007,4724.78377319,19.183907,Angola,3.4,0.92,3.21,5.56,4.38,2.94,Authoritarian,16.1593777534,1677.00458515
